Start date,Maturity,Maturuty_name,dsrate
2018/9/4,2018/9/5,1Y,-0.315
2018/9/4,2020/9/8,2Y,-0.365
2018/9/4,2021/9/7,3Y,-0.41375
2018/9/4,2022/9/7,4Y,-0.45375
2018/9/4,2023/9/7,5Y,-0.485
2018/9/4,2024/9/7,6Y,-0.5075
2018/9/4,2025/9/7,7Y,-0.5225
2018/9/4,2026/9/7,8Y,-0.5325
2018/9/4,2027/9/7,9Y,-0.5375
2018/9/4,2028/9/7,10Y,-0.53875
2018/9/4,2030/9/7,12Y,-0.535
2018/9/4,2033/9/7,15Y,-0.52625
2018/9/4,2038/9/7,20Y,-0.5125
2018/9/4,2048/9/7,30Y,-0.49
